 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000              -4;
     1    0.009            4000               6;
     2    0.018            4000              59;
     3    0.027            4000             129;
     4    0.035            4000             209;
     5    0.044            4000             289;
     6    0.053            4000             366;
     7    0.062            4000             446;
     8    0.071            4000             540;
     9    0.080            4000             653;
    10    0.089            4000             784;
    11    0.097            4000             926;
    12    0.106            4000            1073;
    13    0.115            4000            1230;
    14    0.124            4000            1406;
    15    0.133            4000            1599;
    16    0.142            4000            1803;
    17    0.151            4000            2008;
    18    0.159            4000            2218;
    19    0.168            4000            2436;
    20    0.177            4000            2659;
    21    0.186            4000            2885;
    22    0.195            4000            3109;
    23    0.204            4000            3323;
    24    0.213            4000            3526;
    25    0.221            4000            3713;
    26    0.230            4000            3884;
    27    0.239            4000            4041;
    28    0.248            4000            4184;
    29    0.257            4000            4308;
    30    0.266            4000            4407;
    31    0.274            4000            4483;
    32    0.283            4000            4537;
    33    0.292            4000            4573;
    34    0.301            4000            4589;
    35    0.310            4000            4587;
    36    0.319            4000            4564;
    37    0.328            4000            4525;
    38    0.336            4000            4472;
    39    0.345            4000            4406;
    40    0.354            4000            4327;
    41    0.363            4000            4236;
    42    0.372            4000            4136;
    43    0.381            4000            4032;
    44    0.390            4000            3923;
    45    0.398            4000            3811;
    46    0.407            4000            3699;
    47    0.416            4000            3590;
    48    0.425            4000            3488;
    49    0.434            4000            3394;
    50    0.443            4000            3308;
    51    0.452            4000            3231;
    52    0.460            4000            3164;
    53    0.469            4000            3104;
    54    0.478            4000            3053;
    55    0.487            4000            3009;
    56    0.496            4000            2974;
    57    0.505            4000            2948;
    58    0.514            4000            2931;
    59    0.522            4000            2921;
    60    0.531            4000            2923;
    61    0.540            4000            2955;
    62    0.549            4000            3021;
    63    0.558            4000            3116;
    64    0.567            4000            3227;
    65    0.576            4000            3346;
    66    0.584            4000            3473;
    67    0.593            4000            3613;
    68    0.602            4000            3762;
    69    0.611            4000            3913;
    70    0.620            4000            4063;
    71    0.629            4000            4209;
    72    0.638            4000            4352;
    73    0.646            4000            4493;
    74    0.655            4000            4631;
    75    0.664            4000            4766;
    76    0.673            4000            4888;
    77    0.682            4000            4995;
    78    0.691            4000            5085;
    79    0.699            4000            5163;
    80    0.708            4000            5228;
    81    0.717            4000            5282;
    82    0.726            4000            5323;
    83    0.735            4000            5348;
    84    0.744            4000            5358;
    85    0.753            4000            5354;
    86    0.761            4000            5337;
    87    0.770            4000            5310;
    88    0.779            4000            5273;
    89    0.788            4000            5226;
    90    0.797            4000            5171;
    91    0.806            4000            5111;
    92    0.815            4000            5048;
    93    0.823            4000            4982;
    94    0.832            4000            4913;
    95    0.841            4000            4842;
    96    0.850            4000            4773;
    97    0.859            4000            4706;
    98    0.868            4000            4642;
    99    0.877            4000            4580;
   100    0.885            4000            4522;
   101    0.894            4000            4468;
   102    0.903            4000            4419;
   103    0.912            4000            4376;
   104    0.921            4000            4337;
   105    0.930            4000            4304;
   106    0.939            4000            4277;
   107    0.947            4000            4256;
   108    0.956            4000            4240;
   109    0.965            4000            4230;
   110    0.974            4000            4226;
   111    0.983            4000            4229;
   112    0.992            4000            4239;
   113    1.001            4000            4252;
   114    1.009               0            4260;
   115    1.018               0            4242;
   116    1.027               0            4212;
   117    1.036               0            4161;
   118    1.045               0            4069;
   119    1.054               0            3929;
   120    1.063               0            3745;
   121    1.071               0            3530;
   122    1.080               0            3291;
   123    1.089               0            3024;
   124    1.098               0            2725;
   125    1.107               0            2386;
   126    1.116               0            2016;
   127    1.124               0            1631;
   128    1.133               0            1238;
   129    1.142               0             838;
   130    1.151               0             440;
   131    1.160               0              43;
   132    1.169               0            -355;
   133    1.178               0            -743;
