Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000             -20;
     1    0.009            4000              -8;
     2    0.018            4000              44;
     3    0.027            4000             115;
     4    0.035            4000             201;
     5    0.044            4000             298;
     6    0.053            4000             412;
     7    0.062            4000             550;
     8    0.071            4000             721;
     9    0.080            4000             917;
    10    0.089            4000            1127;
    11    0.097            4000            1346;
    12    0.106            4000            1580;
    13    0.115            4000            1831;
    14    0.124            4000            2095;
    15    0.133            4000            2364;
    16    0.142            4000            2631;
    17    0.151            4000            2893;
    18    0.159            4000            3153;
    19    0.168            4000            3412;
    20    0.177            4000            3665;
    21    0.186            4000            3905;
    22    0.195            4000            4130;
    23    0.204            4000            4339;
    24    0.213            4000            4533;
    25    0.221            4000            4713;
    26    0.230            4000            4874;
    27    0.239            4000            5012;
    28    0.248            4000            5128;
    29    0.257            4000            5225;
    30    0.266            4000            5304;
    31    0.274            4000            5364;
    32    0.283            4000            5404;
    33    0.292            4000            5424;
    34    0.301            4000            5426;
    35    0.310            4000            5409;
    36    0.319            4000            5378;
    37    0.328            4000            5333;
    38    0.336            4000            5273;
    39    0.345            4000            5202;
    40    0.354            4000            5123;
    41    0.363            4000            5036;
    42    0.372            4000            4941;
    43    0.381            4000            4840;
    44    0.390            4000            4735;
    45    0.398            4000            4628;
    46    0.407            4000            4521;
    47    0.416            4000            4413;
    48    0.425            4000            4306;
    49    0.434            4000            4201;
    50    0.443            4000            4101;
    51    0.452            4000            4006;
    52    0.460            4000            3915;
    53    0.469            4000            3830;
    54    0.478            4000            3751;
    55    0.487            4000            3680;
    56    0.496            4000            3618;
    57    0.505            4000            3564;
    58    0.514            4000            3518;
    59    0.522            4000            3481;
    60    0.531            4000            3453;
    61    0.540            4000            3434;
    62    0.549            4000            3423;
    63    0.558            4000            3421;
    64    0.567            4000            3424;
    65    0.576            4000            3436;
    66    0.584            4000            3455;
    67    0.593            4000            3478;
    68    0.602            4000            3505;
    69    0.611            4000            3536;
    70    0.620            4000            3569;
    71    0.629            4000            3605;
    72    0.638            4000            3643;
    73    0.646            4000            3681;
    74    0.655            4000            3719;
    75    0.664            4000            3758;
    76    0.673            4000            3796;
    77    0.682            4000            3832;
    78    0.691            4000            3868;
    79    0.699            4000            3901;
    80    0.708            4000            3933;
    81    0.717            4000            3963;
    82    0.726            4000            3990;
    83    0.735            4000            4014;
    84    0.744            4000            4036;
    85    0.753            4000            4056;
    86    0.761            4000            4072;
    87    0.770            4000            4085;
    88    0.779            4000            4095;
    89    0.788            4000            4102;
    90    0.797            4000            4107;
    91    0.806            4000            4109;
    92    0.815            4000            4109;
    93    0.823            4000            4106;
    94    0.832            4000            4101;
    95    0.841            4000            4094;
    96    0.850            4000            4086;
    97    0.859            4000            4077;
    98    0.868            4000            4068;
    99    0.877            4000            4059;
   100    0.885            4000            4049;
   101    0.894            4000            4039;
   102    0.903            4000            4029;
   103    0.912            4000            4020;
   104    0.921            4000            4011;
   105    0.930            4000            4002;
   106    0.939            4000            3994;
   107    0.947            4000            3987;
   108    0.956            4000            3981;
   109    0.965            4000            3974;
   110    0.974            4000            3969;
   111    0.983            4000            3965;
   112    0.992            4000            3962;
   113    1.001            4000            3959;
   114    1.009               0            3926;
   115    1.018               0            3869;
   116    1.027               0            3788;
   117    1.036               0            3684;
   118    1.045               0            3560;
   119    1.054               0            3408;
   120    1.063               0            3225;
   121    1.071               0            3017;
   122    1.080               0            2793;
   123    1.089               0            2558;
   124    1.098               0            2307;
   125    1.107               0            2038;
   126    1.116               0            1762;
   127    1.124               0            1485;
   128    1.133               0            1207;
   129    1.142               0             930;
   130    1.151               0             660;
   131    1.160               0             399;
   132    1.169               0             147;
   133    1.178               0             -98;
   134    1.186               0            -332;
   135    1.195               0            -551;
   136    1.204               0            -751;
   137    1.213               0            -929;
   138    1.222               0           -1087;
   139    1.231               0           -1226;
   140    1.240               0           -1347;
   141    1.248               0           -1447;
   142    1.257               0           -1524;
   143    1.266               0           -1575;
   144    1.275               0           -1606;
   145    1.284               0           -1617;
   146    1.293               0           -1611;
   147    1.302               0           -1583;
   148    1.310               0           -1535;
   149    1.319               0           -1472;
   150    1.328               0           -1398;
   151    1.337               0           -1313;
   152    1.346               0           -1216;
   153    1.355               0           -1112;
   154    1.364               0           -1001;
   155    1.372               0            -886;
   156    1.381               0            -769;
   157    1.390               0            -650;
   158    1.399               0            -529;
   159    1.408               0            -410;
   160    1.417               0            -296;
   161    1.426               0            -185;
   162    1.434               0             -78;
   163    1.443               0              25;
   164    1.452               0             121;
   165    1.461               0             209;
   166    1.470               0             291;
   167    1.479               0             363;
   168    1.488               0             428;
   169    1.496               0             484;
   170    1.505               0             531;
   171    1.514               0             571;
   172    1.523               0             602;
   173    1.532               0             625;
   174    1.541               0             640;
   175    1.549               0             648;
   176    1.558               0             650;
   177    1.567               0             644;
   178    1.576               0             631;
   179    1.585               0             613;
   180    1.594               0             590;
   181    1.603               0             562;
   182    1.611               0             531;
   183    1.620               0             496;
   184    1.629               0             458;
   185    1.638               0             417;
   186    1.647               0             374;
   187    1.656               0             330;
   188    1.665               0             284;
   189    1.673               0             238;
   190    1.682               0             192;
   191    1.691               0             145;
   192    1.700               0              99;
   193    1.709               0              54;
   194    1.718               0              10;
   195    1.727               0             -32;
   196    1.735               0             -71;
   197    1.744               0            -106;
   198    1.753               0            -138;
   199    1.762               0            -164;
   200    1.771               0            -185;
   201    1.780               0            -200;
   202    1.789               0            -210;
   203    1.797               0            -216;
   204    1.806               0            -217;
   205    1.815               0            -215;
   206    1.824               0            -207;
   207    1.833               0            -197;
   208    1.842               0            -184;
   209    1.851               0            -169;
   210    1.859               0            -152;
   211    1.868               0            -134;
   212    1.877               0            -115;
   213    1.886               0             -95;
   214    1.895               0             -75;
   215    1.904               0             -55;
   216    1.913               0             -36;
   217    1.921               0             -17;
   218    1.930               0              -0;
   219    1.939               0              16;
   220    1.948               0              30;
   221    1.957               0              43;
   222    1.966               0              52;
   223    1.974               0              60;
   224    1.983               0              67;
   225    1.992               0              70]
