 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000              -8;
     1    0.009            4000              15;
     2    0.018            4000              60;
     3    0.027            4000             123;
     4    0.035            4000             203;
     5    0.044            4000             299;
     6    0.053            4000             416;
     7    0.062            4000             557;
     8    0.071            4000             724;
     9    0.080            4000             917;
    10    0.089            4000            1129;
    11    0.097            4000            1360;
    12    0.106            4000            1612;
    13    0.115            4000            1888;
    14    0.124            4000            2183;
    15    0.133            4000            2490;
    16    0.142            4000            2798;
    17    0.151            4000            3107;
    18    0.159            4000            3414;
    19    0.168            4000            3716;
    20    0.177            4000            4009;
    21    0.186            4000            4283;
    22    0.195            4000            4539;
    23    0.204            4000            4773;
    24    0.213            4000            4978;
    25    0.221            4000            5152;
    26    0.230            4000            5298;
    27    0.239            4000            5419;
    28    0.248            4000            5516;
    29    0.257            4000            5585;
    30    0.266            4000            5622;
    31    0.274            4000            5628;
    32    0.283            4000            5606;
    33    0.292            4000            5564;
    34    0.301            4000            5500;
    35    0.310            4000            5412;
    36    0.319            4000            5303;
    37    0.328            4000            5179;
    38    0.336            4000            5045;
    39    0.345            4000            4900;
    40    0.354            4000            4746;
    41    0.363            4000            4586;
    42    0.372            4000            4425;
    43    0.381            4000            4266;
    44    0.390            4000            4112;
    45    0.398            4000            3963;
    46    0.407            4000            3824;
    47    0.416            4000            3695;
    48    0.425            4000            3578;
    49    0.434            4000            3477;
    50    0.443            4000            3390;
    51    0.452            4000            3322;
    52    0.460            4000            3269;
    53    0.469            4000            3231;
    54    0.478            4000            3205;
    55    0.487            4000            3192;
    56    0.496            4000            3194;
    57    0.505            4000            3213;
    58    0.514            4000            3245;
    59    0.522            4000            3284;
    60    0.531            4000            3332;
    61    0.540            4000            3389;
    62    0.549            4000            3455;
    63    0.558            4000            3525;
    64    0.567            4000            3597;
    65    0.576            4000            3671;
    66    0.584            4000            3747;
    67    0.593            4000            3823;
    68    0.602            4000            3896;
    69    0.611            4000            3964;
    70    0.620            4000            4029;
    71    0.629            4000            4090;
    72    0.638            4000            4145;
    73    0.646            4000            4193;
    74    0.655            4000            4234;
    75    0.664            4000            4268;
    76    0.673            4000            4296;
    77    0.682            4000            4316;
    78    0.691            4000            4329;
    79    0.699            4000            4335;
    80    0.708            4000            4337;
    81    0.717            4000            4332;
    82    0.726            4000            4321;
    83    0.735            4000            4305;
    84    0.744            4000            4285;
    85    0.753            4000            4263;
    86    0.761            4000            4238;
    87    0.770            4000            4211;
    88    0.779            4000            4182;
    89    0.788            4000            4153;
    90    0.797            4000            4122;
    91    0.806            4000            4091;
    92    0.815            4000            4060;
    93    0.823            4000            4030;
    94    0.832            4000            4002;
    95    0.841            4000            3975;
    96    0.850            4000            3950;
    97    0.859            4000            3927;
    98    0.868            4000            3907;
    99    0.877            4000            3891;
   100    0.885            4000            3877;
   101    0.894            4000            3867;
   102    0.903            4000            3859;
   103    0.912            4000            3855;
   104    0.921            4000            3854;
   105    0.930            4000            3854;
   106    0.939            4000            3858;
   107    0.947            4000            3864;
   108    0.956            4000            3871;
   109    0.965            4000            3880;
   110    0.974            4000            3889;
   111    0.983            4000            3899;
   112    0.992            4000            3909;
   113    1.001            4000            3920;
   114    1.009               0            3902;
   115    1.018               0            3854;
   116    1.027               0            3776;
   117    1.036               0            3676;
   118    1.045               0            3558;
   119    1.054               0            3423;
   120    1.063               0            3260;
   121    1.071               0            3064;
   122    1.080               0            2839;
   123    1.089               0            2597;
   124    1.098               0            2335;
   125    1.107               0            2048;
   126    1.116               0            1742;
   127    1.124               0            1425;
   128    1.133               0            1101;
   129    1.142               0             774;
   130    1.151               0             453;
   131    1.160               0             145;
   132    1.169               0            -148;
   133    1.178               0            -421;
   134    1.186               0            -675;
   135    1.195               0            -912;
   136    1.204               0           -1129;
   137    1.213               0           -1319;
   138    1.222               0           -1478;
   139    1.231               0           -1601;
   140    1.240               0           -1689;
   141    1.248               0           -1748;
   142    1.257               0           -1778;
   143    1.266               0           -1778;
   144    1.275               0           -1744;
   145    1.284               0           -1678;
   146    1.293               0           -1587;
   147    1.302               0           -1476;
   148    1.310               0           -1347;
   149    1.319               0           -1201;
   150    1.328               0           -1042;
   151    1.337               0            -875;
   152    1.346               0            -703;
   153    1.355               0            -530;
   154    1.364               0            -357;
   155    1.372               0            -190;
   156    1.381               0             -29;
   157    1.390               0             124;
   158    1.399               0             267;
   159    1.408               0             400;
   160    1.417               0             520;
   161    1.426               0             627;
   162    1.434               0             719;
   163    1.443               0             794;
   164    1.452               0             851;
   165    1.461               0             887;
   166    1.470               0             904;
   167    1.479               0             906;
   168    1.488               0             893;
   169    1.496               0             865;
   170    1.505               0             821;
   171    1.514               0             764;
   172    1.523               0             697;
   173    1.532               0             623;
   174    1.541               0             543;
   175    1.549               0             456;
   176    1.558               0             365;
   177    1.567               0             274;
   178    1.576               0             183;
   179    1.585               0              94;
