Index,Value
1,-0.0408
2,-0.0216
3,0.0142
4,0.0736
5,0.1034
6,0.1106
7,0.1004
8,0.0799
9,0.0512
10,0.0111
11,-0.0515
12,-0.0831
13,-0.1048
14,-0.0577
15,-0.0221
16,0.0479
17,0.0768
18,0.1030
19,0.0531
20,-0.0007
21,-0.0643
22,-0.1027
23,-0.1142
24,-0.0847
25,-0.0666
26,-0.0203
27,0.0327
28,0.0767
29,0.1059
30,0.0961
31,0.0625
32,0.0010
33,-0.0535
34,-0.1035
35,-0.1220
36,-0.1051
37,-0.0981
38,-0.0725
39,-0.0501
40,-0.0032
41,0.0267
42,0.0515
43,0.0272
44,-0.0405
45,-0.0843
46,-0.1306
47,-0.1246
48,-0.1241
49,-0.0934
50,-0.0716
51,-0.0228
52,0.0286
53,0.0699
54,0.0917
55,0.0692
56,0.0289
57,-0.0417
58,-0.0875
59,-0.1279
60,-0.1153
61,-0.1150
62,-0.0833
63,-0.0631
64,-0.0114
65,0.0213
66,0.0550
67,0.0426
68,-0.0206
69,-0.0616
70,-0.1126
71,-0.1133
72,-0.1109
73,-0.0861
74,-0.0652
75,-0.0271
76,0.0214
77,0.0677
78,0.1010
79,0.1070
80,0.0628
81,0.0186
82,-0.0379
83,-0.0730
84,-0.0887
85,-0.0526
86,-0.0259
87,0.0483
88,0.0787
89,0.1171
90,0.0813
91,0.0693
92,0.0107
93,-0.0332
94,-0.0760
95,-0.0819
96,-0.0385
97,0.0277
98,0.0825
99,0.1189
100,0.0990
101,0.0998
102,0.0801
103,0.0777
104,0.0617
105,0.0548
106,0.0673
107,0.0687
108,0.0875
109,0.1052
110,0.0865
111,0.0926
112,0.0782
113,0.0794
114,0.0673
115,0.0640
116,0.0460
117,0.0252
118,0.0204
119,0.0309
120,0.0525
121,0.0983
122,0.0815
123,0.0978
124,0.0762
125,0.0803
126,0.0581
127,0.0485
128,0.0074
129,0.0272
130,0.0285
131,0.0970
132,0.1009
133,0.1070
134,0.0899
135,0.0762
136,0.0422
137,-0.0020
138,-0.0647
139,-0.0959
140,-0.1129
141,-0.0596
142,-0.0150
143,0.0421
144,0.0713
145,0.0759
146,0.0242
147,-0.0372
148,-0.0961
149,-0.1395
150,-0.1498
151,-0.1282
152,-0.1147
153,-0.0857
154,-0.0573
155,-0.0046
156,0.0259
157,0.0543
158,0.0298
159,-0.0134
160,-0.0817
161,-0.1287
162,-0.1653
163,-0.1496
164,-0.1514
165,-0.1247
166,-0.1124
167,-0.0735
168,-0.0367
169,-0.0178
170,-0.0386
171,-0.0893
172,-0.1320
173,-0.1570
174,-0.1410
175,-0.1366
176,-0.1089
177,-0.0874
178,-0.0382
179,0.0100
180,0.0525
181,0.0723
182,0.0517
183,-0.0088
184,-0.0598
185,-0.1138
186,-0.1308
187,-0.1226
188,-0.1151
189,-0.0959
190,-0.0772
191,-0.0461
192,-0.0002
193,0.0323
194,0.0550
195,0.0305
196,-0.0226
197,-0.0766
198,-0.1237
199,-0.1333
200,-0.1332
201,-0.1151
202,-0.1001
203,-0.0764
204,-0.0476
205,0.0012
206,0.0286
207,0.0480
208,0.0096
209,-0.0449
210,-0.1019
211,-0.1393
212,-0.1359
213,-0.1373
214,-0.1178
215,-0.1081
216,-0.0842
217,-0.0566
218,-0.0225
219,-0.0233
220,-0.0436
221,-0.0982
222,-0.1315
223,-0.1523
224,-0.1411
225,-0.1376
226,-0.1189
227,-0.1070
228,-0.0830
229,-0.0550
230,-0.0026
231,0.0163
232,0.0232
233,-0.0498
234,-0.0841
235,-0.1402
236,-0.1319
237,-0.1270
238,-0.0800
239,-0.0279
240,0.0400
241,0.0820
242,0.1116
243,0.0833
244,0.0723
245,0.0264
246,-0.0169
247,-0.0560
248,-0.0700
249,-0.0383
250,0.0296
251,0.0812
252,0.1223
253,0.1019
254,0.1034
255,0.0832
256,0.0820
257,0.0677
258,0.0656
259,0.0726
260,0.0755
261,0.0854
262,0.0978
263,0.0779
264,0.0875
265,0.0760
266,0.0814
267,0.0737
268,0.0766
269,0.0688
270,0.0663
271,0.0546
272,0.0633
273,0.0698
274,0.1052
275,0.0861
276,0.1009
277,0.0789
278,0.0770
279,0.0440
280,0.0088
281,-0.0387
282,-0.0526
283,-0.0389
284,0.0284
285,0.0657
286,0.1045
287,0.0801
288,0.0830
289,0.0464
290,0.0222
291,-0.0453
292,-0.0598
293,-0.0710
294,0.0181
295,0.0486
296,0.1054
297,0.0759
298,0.0740
299,0.0143
300,-0.0368
301,-0.0862
302,-0.1058
303,-0.0859
304,-0.0018
305,0.0389
306,0.0908
307,0.0688
308,0.0739
309,0.0461
310,0.0423
311,0.0146
312,-0.0044
313,-0.0073
314,0.0179
315,0.0428
316,0.0897
317,0.0641
318,0.0798
319,0.0629
320,0.0772
321,0.0740
322,0.1018
323,0.1304
324,0.1328
325,0.1253
326,0.0921
327,0.0510
328,0.0626
329,0.0473
330,0.0605
331,0.0528
332,0.0621
333,0.0557
334,0.0609
335,0.0511
336,0.0574
337,0.0560
338,0.0750
339,0.0678
340,0.0716
341,0.0572
342,0.0503
343,0.0276
344,0.0019
345,-0.0555
346,-0.0758
347,-0.0875
348,-0.0160
349,0.0217
350,0.0805
351,0.0805
352,0.0697
353,0.0337
354,-0.0188
355,-0.0899
356,-0.1322
357,-0.1622
358,-0.1295
359,-0.1200
360,-0.0818
361,-0.0520
362,-0.0082
363,-0.0047
364,-0.0318
365,-0.0886
366,-0.1261
367,-0.1489
368,-0.1277
369,-0.1264
370,-0.1023
371,-0.0899
372,-0.0543
373,-0.0120
374,0.0167
375,0.0231
376,-0.0266
377,-0.0707
378,-0.1248
379,-0.1349
380,-0.1409
381,-0.1265
382,-0.1170
383,-0.0986
384,-0.0819
385,-0.0520
386,-0.0086
387,0.0160
388,0.0245
389,-0.0286
390,-0.0676
391,-0.1251
392,-0.1344
393,-0.1313
394,-0.1165
395,-0.0976
396,-0.0686
397,-0.0280
398,0.0306
399,0.0615
400,0.0798
401,0.0327
402,-0.0052
403,-0.0710
404,-0.1020
405,-0.1260
406,-0.0805
407,-0.0322
408,0.0318
409,0.0713
410,0.0932
411,0.0594
412,0.0490
413,0.0021
414,-0.0415
415,-0.0798
416,-0.0908
417,-0.0538
418,0.0135
419,0.0662
420,0.1063
421,0.0879
422,0.0929
423,0.0756
424,0.0789
425,0.0700
426,0.0791
427,0.0836
428,0.0917
429,0.0958
430,0.1074
431,0.0873
432,0.0985
433,0.0867
434,0.0922
435,0.0832
436,0.0845
437,0.0728
438,0.0632
439,0.0473
440,0.0583
441,0.0685
442,0.1158
443,0.0958
444,0.1146
445,0.0899
446,0.0910
447,0.0553
448,0.0216
449,-0.0053
450,0.0060
451,0.0261
452,0.0930
453,0.0962
454,0.0996
455,0.0784
456,0.0622
457,0.0278
458,-0.0140
459,-0.0767
460,-0.1067
461,-0.1249
462,-0.0723
463,-0.0300
464,0.0304
465,0.0606
466,0.0733
467,0.0190
468,-0.0359
469,-0.0952
470,-0.1318
471,-0.1397
472,-0.1081
473,-0.0852
474,-0.0317
475,0.0224
476,0.0686
477,0.0950
478,0.0813
479,0.0528
480,-0.0091
481,-0.0623
482,-0.1127
483,-0.1338
484,-0.1157
485,-0.1065
486,-0.0750
487,-0.0430
488,0.0118
489,0.0340
490,0.0448
491,-0.0210
492,-0.0552
493,-0.1170
494,-0.1179
495,-0.1126
496,-0.0848
497,-0.0563
498,-0.0028
499,0.0521
500,0.0999
501,0.1282
502,0.1193
503,0.0821
504,0.0260
505,-0.0307
506,-0.0793
507,-0.1020
508,-0.0844
509,-0.0788
510,-0.0506
511,-0.0274
512,0.0241
513,0.0488
514,0.0718
515,0.0325
516,-0.0226
517,-0.0831
518,-0.1255
519,-0.1329
520,-0.1319
521,-0.1141
522,-0.0989
523,-0.0757
524,-0.0473
525,0.0007
526,0.0285
527,0.0480
528,0.0111
529,-0.0449
530,-0.1012
531,-0.1405
532,-0.1375
533,-0.1412
534,-0.1231
535,-0.1167
536,-0.0972
537,-0.0794
538,-0.0423
539,-0.0491
540,-0.0655
541,-0.1241
542,-0.1549
543,-0.1770
544,-0.1617
545,-0.1563
546,-0.1306
547,-0.1109
548,-0.0673
549,-0.0156
550,0.0215
551,0.0422
552,0.0138
553,-0.0400
554,-0.0962
555,-0.1432
556,-0.1541
557,-0.1516
558,-0.1337
559,-0.1148
560,-0.0879
561,-0.0509
562,0.0034
563,0.0332
564,0.0517
565,0.0087
566,-0.0375
567,-0.0939
568,-0.1266
569,-0.1302
570,-0.1113
571,-0.0749
572,-0.0149
573,0.0341
574,0.0822
575,0.0935
576,0.0693
577,0.0499
578,0.0046
579,-0.0500
580,-0.0915
581,-0.1193
582,-0.1009
583,-0.0833
584,-0.0311
585,0.0239
586,0.0644
587,0.0824
588,0.0459
589,0.0103
590,-0.0602
591,-0.0941
